Rank,Athlete Name,Earnings,Athlete Name,Sport,Nationality
20,Alex Rodriguez,515000000,Alex Rodriguez,Baseball,American
19,Manny Pacquiao,550000000,Manny Pacquiao,Boxing,Filipino
18,Greg Norman,555000000,Greg Norman,Golf,Australian
17,Lewis Hamilton,560000000,Lewis Hamilton,Formula One,English
=15,Kevin Durant,580000000,Kevin Durant,Basketball,American
=15,Neymar,580000000,Neymar,Soccer,Brazilian
14,Shaquille O'Neal,645000000,Shaquille O'Neal,Basketball,American
13,Kobe Bryant,750000000,Kobe Bryant,Basketball,American
12,Michael Schumacher,780000000,Michael Schumacher,Formula One,German
11,Jack Nicklaus,830000000,Jack Nicklaus,Golf,American
10,David Beckham,880000000,David Beckham,Soccer,English
=8,Phil Mickelson,885000000,Phil Mickelson,Golf,American
=8,Arnold Palmer,885000000,Arnold Palmer,Golf,American
7,Roger Federer,1000000000,Roger Federer,Tennis,Swiss
=5,LeBron James,1050000000,LeBron James,Basketball,American
=5,Lionel Messi,1050000000,Lionel Messi,Soccer,Argentine
4,Floyd Mayweather,1080000000,Floyd Mayweather,Boxing,American
3,Cristiano Ronaldo,1120000000,Cristiano Ronaldo,Soccer,Portuguese
2,Tiger Woods,1660000000,Tiger Woods,Golf,American
1,Michael Jordan,2049999999,Michael Jordan,Basketball,American
